Country,City,PM2.5,Latitude,Longitude,sensorType,Date
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-30T13:00:00+00:00
Azerbaijan,Baku,18.0,40.386992,49.842946,reference grade,2024-06-30T12:00:00+00:00
Azerbaijan,Baku,38.0,40.386992,49.842946,reference grade,2024-06-30T11:00:00+00:00
Azerbaijan,Baku,49.0,40.386992,49.842946,reference grade,2024-06-30T10:00:00+00:00
Azerbaijan,Baku,35.0,40.386992,49.842946,reference grade,2024-06-30T09:00:00+00:00
Azerbaijan,Baku,38.0,40.386992,49.842946,reference grade,2024-06-30T08:00:00+00:00
Azerbaijan,Baku,47.0,40.386992,49.842946,reference grade,2024-06-30T07:00:00+00:00
Azerbaijan,Baku,19.0,40.386992,49.842946,reference grade,2024-06-30T06:00:00+00:00
Azerbaijan,Baku,14.0,40.386992,49.842946,reference grade,2024-06-30T05:00:00+00:00
Azerbaijan,Baku,9.0,40.386992,49.842946,reference grade,2024-06-30T04:00:00+00:00
Azerbaijan,Baku,8.0,40.386992,49.842946,reference grade,2024-06-30T03:00:00+00:00
Azerbaijan,Baku,6.0,40.386992,49.842946,reference grade,2024-06-30T02:00:00+00:00
Azerbaijan,Baku,6.0,40.386992,49.842946,reference grade,2024-06-30T01:00:00+00:00
Azerbaijan,Baku,7.0,40.386992,49.842946,reference grade,2024-06-30T00:00:00+00:00
Azerbaijan,Baku,7.0,40.386992,49.842946,reference grade,2024-06-29T23:00:00+00:00
Azerbaijan,Baku,5.0,40.386992,49.842946,reference grade,2024-06-29T22:00:00+00:00
Azerbaijan,Baku,0.0,40.386992,49.842946,reference grade,2024-06-29T21:00:00+00:00
Azerbaijan,Baku,16.0,40.386992,49.842946,reference grade,2024-06-29T20:00:00+00:00
Azerbaijan,Baku,14.0,40.386992,49.842946,reference grade,2024-06-29T19:00:00+00:00
Azerbaijan,Baku,11.0,40.386992,49.842946,reference grade,2024-06-29T18:00:00+00:00
Azerbaijan,Baku,14.0,40.386992,49.842946,reference grade,2024-06-29T17:00:00+00:00
Azerbaijan,Baku,17.0,40.386992,49.842946,reference grade,2024-06-29T16:00:00+00:00
Azerbaijan,Baku,13.0,40.386992,49.842946,reference grade,2024-06-29T15:00:00+00:00
Azerbaijan,Baku,11.0,40.386992,49.842946,reference grade,2024-06-29T14:00:00+00:00
Azerbaijan,Baku,30.0,40.386992,49.842946,reference grade,2024-06-29T13:00:00+00:00
Azerbaijan,Baku,13.0,40.386992,49.842946,reference grade,2024-06-29T12:00:00+00:00
Azerbaijan,Baku,12.0,40.386992,49.842946,reference grade,2024-06-29T11:00:00+00:00
Azerbaijan,Baku,22.0,40.386992,49.842946,reference grade,2024-06-29T10:00:00+00:00
Azerbaijan,Baku,18.0,40.386992,49.842946,reference grade,2024-06-29T09:00:00+00:00
Azerbaijan,Baku,18.0,40.386992,49.842946,reference grade,2024-06-29T08:00:00+00:00
Azerbaijan,Baku,16.0,40.386992,49.842946,reference grade,2024-06-29T07:00:00+00:00
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-29T06:00:00+00:00
Azerbaijan,Baku,11.0,40.386992,49.842946,reference grade,2024-06-29T05:00:00+00:00
Azerbaijan,Baku,12.0,40.386992,49.842946,reference grade,2024-06-29T04:00:00+00:00
Azerbaijan,Baku,12.0,40.386992,49.842946,reference grade,2024-06-29T03:00:00+00:00
Azerbaijan,Baku,11.0,40.386992,49.842946,reference grade,2024-06-29T02:00:00+00:00
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-29T01:00:00+00:00
Azerbaijan,Baku,8.0,40.386992,49.842946,reference grade,2024-06-29T00:00:00+00:00
Azerbaijan,Baku,7.0,40.386992,49.842946,reference grade,2024-06-28T23:00:00+00:00
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-28T22:00:00+00:00
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-28T21:00:00+00:00
Azerbaijan,Baku,8.0,40.386992,49.842946,reference grade,2024-06-28T20:00:00+00:00
Azerbaijan,Baku,23.0,40.386992,49.842946,reference grade,2024-06-28T19:00:00+00:00
Azerbaijan,Baku,13.0,40.386992,49.842946,reference grade,2024-06-28T18:00:00+00:00
Azerbaijan,Baku,29.0,40.386992,49.842946,reference grade,2024-06-28T17:00:00+00:00
Azerbaijan,Baku,22.0,40.386992,49.842946,reference grade,2024-06-28T16:00:00+00:00
Azerbaijan,Baku,35.0,40.386992,49.842946,reference grade,2024-06-28T15:00:00+00:00
Azerbaijan,Baku,18.0,40.386992,49.842946,reference grade,2024-06-28T14:00:00+00:00
Azerbaijan,Baku,23.0,40.386992,49.842946,reference grade,2024-06-28T12:00:00+00:00
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-28T11:00:00+00:00
Azerbaijan,Baku,11.0,40.386992,49.842946,reference grade,2024-06-28T10:00:00+00:00
Azerbaijan,Baku,12.0,40.386992,49.842946,reference grade,2024-06-28T09:00:00+00:00
Azerbaijan,Baku,20.0,40.386992,49.842946,reference grade,2024-06-28T08:00:00+00:00
